E,count
5e-07,0.0
5.94617826409102e-07,1.0
7.071407189669702e-07,2.0
8.40956954555021e-07,0.0
1.0000959928422494e-06,0.0
1.1893498109286226e-06,1.0
1.4144171988289084e-06,1.0
1.6820753608065964e-06,0.0
2.000383989798249e-06,2.0
2.378927959994805e-06,4.0
2.8291059455119014e-06,4.0
3.3644736560027163e-06,4.0
4.001152024686041e-06,1.0
4.758312640102384e-06,10.0
5.658755038865272e-06,5.0
6.729593242783259e-06,9.0
8.003072213282325e-06,14.0
9.517538808114039e-06,13.0
1.1318596477690093e-05,12.0
1.3460478471131607e-05,15.0
1.6007680901861615e-05,24.0
1.90369048474309e-05,27.0
2.2639365963872523e-05,31.0
2.6923541161436232e-05,39.0
3.2018435049298416e-05,35.0
3.807746450806967e-05,51.0
4.5283078361916246e-05,67.0
5.385225125735137e-05,64.0
6.404301717976622e-05,75.0
7.616223934422691e-05,103.0
9.057485042662802e-05,104.0
0.0001077148413760223,147.0
0.00012809832970202322,175.0
0.00015233910074810716,171.0
0.0001811670899279136,234.0
0.00021545036245959666,284.0
0.00025622125244955746,305.0
0.0003047074484227474,396.0
0.0003623689613435957,453.0
0.0004309420883045057,536.0
0.0005124916957116496,631.0
0.0006094733963135522,745.0
0.0007248074923402761,897.0
0.000861966911320814,1081.0
0.0010250817824923005,1274.0
0.0012190638027942797,1452.0
0.0014497541373430993,1784.0
0.0017240993079491135,2077.0
0.0020503603660122784,2429.0
0.0024383616483871864,2863.0
0.0028997866067266087,3385.0
0.003448529618284008,3994.0
0.004101114371862895,4751.0
0.004877191427304495,5421.0
0.005800129930969817,6694.0
0.006897721304887297,7734.0
0.00820301609897568,8826.0
0.009755319205543584,10234.0
0.011601373403854615,12242.0
0.013796766873520796,14203.0
0.01640760705961208,16613.0
0.01951251129272235,18988.0
0.023204974105323295,22139.0
0.027596182528773678,25562.0
0.03281836414489649,28913.0
0.03902876870828153,32758.0
0.04641440323348389,36614.0
0.0551976631295397,41339.0
0.06564302894589748,45539.0
0.07806503038143867,50752.0
0.09283771736794318,53324.0
0.11040592342021807,55502.0
0.13129866041363972,53698.0
0.15614504813117056,51864.0
0.18569325824860256,48926.0
0.22083304319721672,46275.0
0.2626225282904728,44960.0
0.3123200738762877,42935.0
0.3714221669444968,38836.0
0.44170848317739164,35789.0
0.5252954763468042,32896.0
0.6247001087357413,30803.0
0.7429156416279526,28603.0
0.8835017680602734,26009.0
1.0506918019051992,24483.0
1.249520150949465,22133.0
1.4859739124238882,20195.0
1.7671731558122439,19584.0
2.1015853215951843,10501.0
2.499280191880405,8214.0
2.9722331105665005,6069.0
3.5346855835724345,4187.0
4.203574117486869,2713.0
4.999040209779204,1480.0
5.945036847341224,523.0
7.07004977617612,95.0
8.407955261028007,17.0
9.99904016371492,5.0
11.891215056650957,1.0
14.141456900697962,0.0
16.817524729102043,0.0
