E,count
1e-09,0.0
1.125249699032773e-09,0.0
1.2661868851733465e-09,0.0
1.4247764114605527e-09,0.0
1.6032292281849814e-09,0.0
1.8040332064956955e-09,0.0
2.02998782265441e-09,0.0
2.2842431864820694e-09,0.0
2.570343958106611e-09,0.0
2.892278765270171e-09,0.0
3.2545358101391404e-09,0.0
3.6621654408504504e-09,0.0
4.1208505601251924e-09,0.0
4.636985852539907e-09,0.0
5.217766934989757e-09,0.0
5.871290673220379e-09,0.0
6.60666806297516e-09,0.0
7.434151249472233e-09,0.0
8.365276456032779e-09,0.0
9.413024814476828e-09,0.0
1.0592003339478054e-08,0.0
1.1918648569901807e-08,0.0
1.3411455716159428e-08,0.0
1.5091236508199762e-08,0.0
1.698140933888418e-08,0.0
1.9108325747731747e-08,0.0
2.1501637796655338e-08,0.0
2.419471145939812e-08,0.0
2.722509178787252e-08,0.0
3.063502634044317e-08,0.0
3.447205416944476e-08,0.0
3.878966857920917e-08,0.0
4.364806289433613e-08,0.0
4.9114969635215286e-08,1.0
5.526660480002979e-08,0.0
6.218873041779674e-08,0.0
6.997785018585604e-08,0.0
7.8742554860595e-08,0.0
8.860503615795615e-08,0.0
9.970279026952814e-08,0.0
1.1219053474351424e-07,0.0
1.2624236545446528e-07,0.0
1.420541837328224e-07,0.0
1.5984642749170467e-07,0.0
1.7986714442650504e-07,0.0
2.0239545013180915e-07,0.0
2.2774541934642087e-07,0.0
2.562704645756528e-07,0.0
2.883682631347423e-07,0.0
3.2448630130297224e-07,0.0
3.6512811288142727e-07,1.0
4.1086029912823045e-07,0.0
4.6232042793855643e-07,1.0
5.202259223945646e-07,0.0
5.853840626035306e-07,1.0
6.587032402632048e-07,0.0
7.412056228580837e-07,1.0
8.340414040424578e-07,1.0
9.385048388796472e-07,1.0
1.0560522874901241e-06,0.0
1.1883225186611338e-06,3.0
1.3371595564773079e-06,1.0
1.504638388484887e-06,4.0
1.693093893795776e-06,4.0
1.9051533944279229e-06,5.0
2.1437732836912863e-06,3.0
2.4122802422681197e-06,2.0
2.7144176165949066e-06,3.0
3.054397606122676e-06,4.0
3.436959987015964e-06,4.0
3.8674381909773975e-06,3.0
4.351833660425169e-06,6.0
4.896899516634113e-06,10.0
5.5102347072862675e-06,8.0
6.200389945973814e-06,15.0
6.976986920592866e-06,9.0
7.850852432552733e-06,7.0
8.834169336880678e-06,6.0
9.940646387529535e-06,19.0
1.1185709355758834e-05,17.0
1.2586716086035703e-05,13.0
1.4163198487622637e-05,13.0
1.59371348355388e-05,20.0
1.793325617713476e-05,22.0
2.017939111599851e-05,55.0
2.2706853779941937e-05,32.0
2.5550880381860852e-05,43.0
2.875112045971131e-05,42.0
3.235218964414523e-05,40.0
3.6404291660125615e-05,55.0
4.096391823405764e-05,44.0
4.609463666407649e-05,57.0
5.18679760332771e-05,60.0
5.8364424420884145e-05,71.0
6.567455101382091e-05,68.0
7.390026876241448e-05,90.0
8.315625518334795e-05,101.0
9.357155111775476e-05,110.0
0.00010529135973328329,134.0
0.00011847907085062847,132.0
0.0001333185388163523,185.0
0.0001500166456785895,195.0
0.000168806185399739,208.0
0.0001899491093159268,237.0
0.00021374017808928998,287.0
0.00024051107106618535,317.0
0.000270635010331275,324.0
0.00030453196392299863,331.0
0.00034267450075021354,416.0
0.00038559437883538354,443.0
0.00043388995873324445,564.0
0.0004882345454779257,597.0
0.0005493857753564387,715.0
0.0006181961783727193,766.0
0.000695625063657113,883.0
0.00078275189351982,973.0
0.0008807913326005107,1002.0
0.0009911101819193998,1233.0
0.0011152464339131217,1385.0
0.0012549307141081138,1589.0
0.001412110408357141,1671.0
0.0015889768120049192,1926.0
0.0017879956794785907,2099.0
0.0020119416002051826,2348.0
0.002263936680102398,2714.0
0.0025474940679144787,2984.0
0.002866566933208542,3409.0
0.0032256035788502118,3816.0
0.0036296094563002365,4299.0
0.004084216948308348,4777.0
0.00459576389186852,5319.0
0.005171381936150739,5825.0
0.005819095967237138,6626.0
0.006547935985776413,7366.0
0.0073680629972807735,8512.0
0.008290910670144704,9124.0
0.009329344736287935,9980.0
0.010497842356681006,11188.0
0.0118126939523488,12440.0
0.013292230314646747,13972.0
0.014957078161030554,15266.0
0.016830447699109297,17278.0
0.018938456208009564,19049.0
0.021310492148208116,21192.0
0.023979624876011456,23555.0
0.02698306567465069,25917.0
0.030362686529382243,27834.0
0.0341656038790138,30805.0
0.038444835482133226,33108.0
0.04326003955563489,35524.0
0.04867834649012402,38438.0
0.0547752947374251,41888.0
0.06163588391771917,44659.0
0.06935575982803244,48019.0
0.07804254787268279,51643.0
0.0878173535054871,54090.0
0.09881645060190401,55577.0
0.11119318129927938,56571.0
0.1251200937915107,56306.0
0.14079134788184977,54896.0
0.1584254218304699,54669.0
0.17826815823387637,51458.0
0.20059619139979618,50111.0
0.2257208039997412,47741.0
0.25399226676614434,46645.0
0.2858047217352558,46221.0
0.321601677114742,44392.0
0.36188219038179853,41488.0
0.40720782581243953,38581.0
0.4582104834392375,37199.0
0.5156012085836634,34578.0
0.5801801047797014,32739.0
0.6528474882881617,31134.0
0.7346164397105559,28960.0
0.8266269276888304,27231.0
0.9301617015942423,25691.0
1.0466641747707375,24355.0
1.1777585476491583,23301.0
1.3252724512754912,21886.0
1.491262426934172,20097.0
1.67804259708656,19659.0
1.8882169273358247,19557.0
2.1247155291932245,10093.0
2.3908355097549348,8075.0
2.690286937788607,6860.0
3.027244567058431,5640.0
3.4064060379810974,4191.0
3.8330573690216507,3382.0
4.313146650866966,2378.0
4.853366970772266,1490.0
5.461249723157095,889.0
6.145269607325337,415.0
6.914962776118083,163.0
7.781059782649702,44.0
8.755635178582592,14.0
9.852275849540822,4.0
11.086270434483671,0.0
12.474822469798681,2.0
14.037290229628242,0.0
15.795456606124866,0.0
17.773832792127234,0.0
